contents	keywords
[20] She even defends Naruto from himself when he's in doubt, repeating to him his refusal to never give up. [21] Two years after the war, upon achieving her greatest dream of having her love reciprocated by Naruto to form a deep and committed relationship together, she became more expressive about her feelings.	Naruto
In the anime, she is able to laugh openly because of it. [22] After marrying Naruto and he becomes Hokage, Hinata remains supportive of him and his increased responsibilities, even though she yearns for him to be home more often.	Naruto, Kage
As a mother and wife, she has become a master homemaker, keeping the family well-structured yet well-adjusted and happy. While very loving and supportive of her family, she is equally strict and assertive.	other
Her newfound structured nature made her very intimidating and more easily angered when her family acts up, easily keeping them in line and swiftly punishing them for their misconduct. [23][8] She is also insightful and wise with her words, realising that her children, particularly Boruto, take after Naruto in the desire to prove themselves to others and that she must believe in them to do things on their own.	Naruto, Boruto
"[24]
 Hinata is a slender girl of fair-complexion who, as a Hyūga, her most distinguishing trait is the Byakugan, giving her featureless white eyes (lavender in the anime). She has dark blue hair that she keeps in a bob-cut of different lengths: in Part I, her hair is cut just above her forehead akin to a bowl-cut with chin-length strands framing her face; in Part II, her hair reaches her lower back and the framing strands reach shoulder-length; in The Last: Naruto the Movie, her hair extends beyond her hips and she would at times tie it into a ponytail."	Naruto, Byakugan, Movie
By the time Boruto entered the Academy, she cut it into a bob-style reaching her shoulders. [25] She is noted to be beautiful by Naruto[12] and Toneri Ōtsutsuki.	Naruto, Boruto
In Part I, Hinata usually wears a cream-coloured hooded-jacket with a fire symbol on the upper sleeves and fur around the cuffs and hem. She also wears navy blue pants and keeps her forehead protector loosely around her neck.	other
In Part II, she dons a lavender and cream hooded-jacket with lavender cuffs over mesh armour. She also wears navy blue pants, black, low-heeled sandals, and changes the cloth of her forehead protector from blue to black.	other
Hinata switches to the standard Konoha infantry flak jacket and assorted clothing during the Fourth Shinobi World War, though she does not appear to wear a forehead protector. Two years after the war, Hinata's mission attire is a form-fitting light lavender, sleeveless kimono-style blouse with vertical lines, tied with a dark purple obi around her waist and short dark navy shorts.	Konoha, Shinobi, Konoha
She also wore thigh-high stockings with black, open-toed boots. She does not wear her forehead protector at all.	other
Her outfits become more varied after that, changing to match the occasion or simply being more casual than her prior garb. During Hinata's and Toneri's wedding, she wore a wide black and grey top with a long grey sash around her waist.	other
She also wore short puffy pants with black lace socks and sandals. On her head was a black turban with a black and light yellow veil over and yellow crescent moon earrings.	other
During Hinata's and Naruto's wedding, she wore a traditional white kimono with a flower in her hair. After getting married, she consistently wears a light purple short-sleeved jacket, a long-sleeved white shirt with a two pink coloured strips underneath it, light brown shorts and purple open-toed boots.	Naruto
In the Boruto manga, Hinata has a necklace with the Uzumaki symbol on it. She also wears her wedding ring on her left hand and has her hair cut into a short bob style with fringes covering the top of her forehead.	Boruto
Hinata repelling a Ten-Tails mini-clone with the Eight Trigrams Sixty-Four Palms. Originally, Hinata's gentle personality hindered her performance, to which she was deemed too weak and unworthy for the role of heir.	Ten-tail
[26] After committing herself getting stronger in her training for Naruto, receiving consistent praise from her team and clan for her improving skills and strengthening character. [27][20][18] Two years after the war, Hinata, having been recognised by Hamura Ōtsutsuki as the Byakugan Princess, proves to be crucial in the destruction of the Tenseigan, even though she herself can't destroy it.	Naruto, Byakugan
"[7]
 Over a decade later, while rusty as she retired to be a housewife, Hinata's prowess still remained formidable. Despite being unprepared and reluctant to fight Hanabi, an active jōnin who continues training to become the next Hyūga clan leader, Hinata decisively defeated her sister in a match."	other
"[28]
 Hinata's Gentle Step: Twin Lion Fist using Hamura's chakra. From her special clan training, Hinata has advanced control of her chakra."	Chakra
In the anime, Hinata's additional training during Part I resulted in her ability to free herself from contraints[29] and manipulate nearby water sources, turning them into projectiles. [30] By Part II of the anime, Hinata's control has advanced enough to match a medical-nin's, for which reason she is assigned to help perform the Four-Corner Sealing Barrier.	other
When she met Hamura, Hinata inherited some of his chakra because she is a member of the Hyūga clan's main house. It is the strength and purity of her chakra that attracts Toneri Ōtsutsuki.	Chakra
It is also because of her being the member of the Hyūga clan's main house and direct bloodline from Hamura that she can touch and find the Tenseigan, though she can't destroy it by herself, so instead she held Naruto's hand to give him allowance to touch the Tenseigan and for him to destroy it, since anyone without the Hyūga and Ōtsutsuki bloodline can't touch it. Hinata's Byakugan.	Naruto, Byakugan
As a Hyūga, Hinata possesses the Byakugan, a dōjutsu that grants her penetrative vision in a near-360° around herself, with one blind spot at the back of the neck above the first thoracic vertebra. [31] With it, she is able to assist others frequently in tracking, scouting the area for their target(s); by focusing her vision in a single direction, Hinata can see across vast distances, able to see at least 1 kilometre during her first Chūnin Exam, and reaching as far away as 20 kilometres by the battle against Toneri.	Byakugan
Hinata's Byakugan grants her attacks pinpoint accuracy, which she can share with others to also improve their own. [32] She can also use it in order to identify genjutsu, searching for the caster in the nearby area.	Byakugan, Arc
[33] In the anime, Hinata can use infrared vision and magnify in to see tiny targets. [34] By adulthood, the chakra sensitivity provided by the Byakugan allows her to pick up on the slightest presence of chakra.	Chakra, Byakugan
"[35]
 As is traditional in her clan, Hinata has been extensively trained in the Gentle Fist fighting style. In unison with her Byakugan, Hinata can attack accurately target an individuals' chakra pathway systems and the 361 tenketsu that run along it, constricting or cutting off their chakra flow from only minimal contact."	Chakra, Byakugan
"[15] Although this enables Hinata to attack an opponent's internal organs, she can also use it in a supplementary function, such as by setting dislocated shoulders back in place. [36]
 Hinata and Neji combining their Eight Trigrams Vacuum Palms."	other
While Hinata hadn't yet mastered her clan's most advanced techniques in Part I, in the anime, she created the Protecting Eight Trigrams Sixty-Four Palms as an alternative, which effectively protects her and attacks anything within range with sharp streams of chakra emitted from her palms. [37] By Part II, she had grown accustomed to more of her clan's techniques.	Chakra
During Pain's Assault, Hinata could use the Gentle Step Twin Lion Fists, a technique that drains the target of their chakra where struck. During the Fourth Shinobi World War, Hinata could use the Eight Trigrams Vacuum Palm to attack targets outside her physical range or deflect incoming attacks,[38] which increases in power if used in conjunction with others.	Chakra, Shinobi
[39] She also mastered the Eight Trigrams Sixty-Four Palms in the war. [40] By the time she reaches adulthood, she became well-known for her mastery of the Gentle Fist.	other
[41] As an adult, she could even knock out a target with a single strike to their tenketsu. [42][43] Hinata is also proven to be very resilient, having survived an assault by Momoshiki Ōtsutsuki.	other
While Hinata doesn't usually use ninjutsu, by the Fourth Shinobi World War, her nature transformations included Fire and Lightning Release. [4] In the anime, she also demonstrated proficiency in medical ninjutsu, able to use the Mystical Palm Technique to heal the wounded.	Shinobi
"[44]
 Main article: Prologue — Land of Waves
In the anime, while the graduates of her Academy class are being assigned to teams, Hinata hopes that she will be on the same team as Naruto Uzumaki. To her disappointment, she is instead added to Kurenai Yūhi's Team 8, along with Kiba Inuzuka and Shino Aburame."	Naruto
"Kurenai reports this to Hinata's father, Hiashi Hyūga, but he is unconcerned and in fact abandons Hinata to Kurenai's care, feeling she is unworthy of the Hyūga clan. [15]
 Main article: Chūnin Exams
 Hinata lets Naruto copy her test."	Naruto
Despite how recently they graduated from the Academy, Kurenai enters Team 8 in the Chūnin Exams being held in Konoha; Hinata agrees to participate because she wants to change herself. For the exams' first stage, Hinata is seated next to Naruto as they take a written test.	Naruto, Konoha, Konoha
The objective in the first stage is to cheat off of other examinee's paper without getting caught, but Naruto doesn't realise this and agonises about potentially failing. Seeing this, Hinata offers to let him copy off of her paper.	Naruto
He suspects she's trying to trick him, but she assures him that she only wants to be helpful. Although he considers taking her up on her offer, Naruto ultimately declines, fearing that he'll get her disqualified if they're caught and claiming that, besides, he isn't the type to cheat.	Naruto
Although Naruto is given the opportunity to forfeit, he refuses to do so, and for his determination, he passes the first stage along with Hinata and their teams. For the second stage, participants enter the Forest of Death with the objective of obtaining a set of two scrolls, one of which they are given at the start.	Naruto
Team 8 manages to collect their second scroll right after the second stage has started, and so they head for the centre of the forest where they're supposed to turn in the scrolls. Along the way, Kiba's partner, Akamaru, senses the Three Sand Siblings' fight with Team Shigure.	other
Team 8 watches the fight from the cover of some nearby bushes and is horrified when Gaara mercilessly kills all of Team Shigure. After they're certain Gaara won't kill them too, they proceed to the centre of the forest.	other
After passing the second stage, the remaining participants take part in one-on-one preliminary matches. During Naruto's fight with Kiba, Hinata's loyalties are torn; she wants to cheer for Naruto, but fears that would be rude to Kiba.	Naruto
When Naruto wins the fight, Hinata gives both him and Kiba some of the Hyūga Clan Secret Ointment so that their wounds will heal faster. As he's being taken away to rest, Kiba pleads for Hinata to forfeit if she's matched against Gaara or her cousin, Neji Hyūga.	Naruto
She is indeed matched against the latter, a member of a Hyūga clan branch house who hates all members of the main house. Neji, like Kiba, tries to convince Hinata to forfeit, telling her that she's too meek and insecure to be a ninja.	Ninja
She begins to offer arguments in her defence, but Neji persists, claiming that she is fated to be a failure, a fact that he believes she's aware of due to her frightened reaction to what he says. Hinata fights Neji.	other
Neji's words cause Hinata to cry, but also anger the watching Naruto, who insists that Hinata can change herself if she wants to and who encourages her to defeat Neji. Because Naruto has faith in her, Hinata refuses to forfeit and prepares to fight; Neji is surprised by the new confidence in her.	Naruto
Hinata and Neji exchange Gentle Fist-blows, but only Neji's are effective, which he reveals to be because he sealed her tenketsu at the start of their fight. Although her attacks are ineffective against him, Hinata continues fighting, in the process enduring mounting internal trauma from Neji's counterattacks.	other
Neji repeatedly tells her to forfeit, but Hinata refuses, unwilling to back down both as a matter of principle and because Naruto continues to cheer for her. Hinata is saved from Neji.	Naruto
Neji directly attacks Hinata's heart, leading all but Naruto to believe she's been defeated. When Hayate Gekkō is about to declare Neji the winner, Naruto stops him and motions to Hinata struggling to her feet.	Naruto
Neji tells her that her attempts to fight her destiny are only bringing her harm, but she rebuts that his own attempt to fight the destiny of the branch house brings him even more harm. Neji is enraged and attempts to kill her, but he is stopped by the observing jōnin.	other
Hinata collapses, the damage to her organs being too severe, and before she loses consciousness she sees Naruto checking on her; she wonders if she managed to change at all. She's taken away by a team of medical-nin to be given emergency medical attention.	Naruto
After a month, on the day of the Chūnin Exams' final matches, Hinata has recovered somewhat. Although she's supposed to take it easy, she practices at the Third Training Ground.	other
Naruto stops there on his way to finals and is glad to see she's better. Because he's scheduled to fight Neji, Naruto shares his concerns that he might not be strong enough to defeat him.	Naruto
Hinata says that she believes he is strong enough, and that even if he isn't physically strong he still has strength of perseverance: a willingness to keep trying despite apparent failure until he finally conquers his obstacle. She admires him for that.	other
"Naruto is put at ease, thanks her, and informs her that his impression of her as ""weird"" was wrong, as he actually likes her. Hinata is left speechless as he walks away."	Naruto
Hinata watches Naruto's fight against Neji with Kiba. Seeing Naruto receive so many of Neji's attacks upsets Hinata and causes her internal injuries to begin bleeding again.	Naruto
Kiba gets an Anbu (Kabuto Yakushi) to treat her. Although the Anbu heals her, she is rendered unconscious and thus is unable to watch Naruto's defeat of Neji.	Naruto
"Main article: Konoha Crush
In the anime, when the invasion of Konoha begins, the still-unconscious Hinata is kidnapped by Kumo-nin. She is rescued by Neji, who has had a change of perspective as a result of his loss to Naruto."	Naruto, Konoha, Konoha
"Several days after the invasion is successfully repelled, Hinata attends the Third Hokage's funeral. Main article: Sasuke Recovery Mission
According to Kiba, Hinata visited Naruto while he was in the Konoha Hospital after his failed attempt to stop Sasuke Uchiha from defecting from Konoha."	Naruto, Sasuke, Konoha, Kage, Konoha
"When she saw how badly hurt he was, she immediately fainted. Main article: Bikōchū Search Mission
 Team 8 and Naruto searching for the bikōchū."	Naruto, Arc
In the anime, Team 8 (at Hinata's insistence) helps Naruto find a bikōchū, which he can use to locate Sasuke by scent. After a day of searching, Hinata goes off by herself and trains by a waterfall in order to create a new jutsu.	Naruto, Sasuke, Arc
"Naruto sees her, though he doesn't realise it's Hinata; she becomes embarrassed when he later tells Kiba about the ""beautiful girl"" he saw. When they are attacked by members of the Kamizuru clan, Hinata uses her new Protecting Eight Trigrams Sixty-Four Palms to save her team."	Naruto
"Although they ultimately fail in their plan to use the bikōchū to find Sasuke, their near-success earns praise from Hinata's father, Hiashi. Main article: Academy Student Lead Mission
In the anime, Hinata is put in charge of a team of Academy students (Nobori, Daichi, and Matsuri) to teach them survival skills."	Sasuke
"Very little of their exercise is seen, but Hinata does teach her students how to establish a campsite. Main article: Gosunkugi Capture Mission
In the anime, Naruto, Kiba, and Hinata are assigned to catch a thief, Gosunkugi."	Naruto, Gosunkugi
"Gosunkugi is captured by a bounty hunter before they can catch him themselves, for which reason their mission is officially deemed a failure. Main article: Buried Gold Excavation Mission
In the anime, Naruto, Kiba, and Hinata are sent on another mission together in order to improve their teamwork, which their previous mission failures suggests they lack."	Naruto, Gosunkugi
While searching for a buried treasure, they are attacked by the Kedōin clan, who impersonate each of them so that they can infiltrate Konoha and destroy it from within. Although they escape from the Kedōin, Naruto and Kiba must stop them by themselves due to a leg injury Hinata sustained.	Naruto, Konoha, Konoha, Arc
"She later returned to Konoha and mistakenly attacked Naruto, whom she believed to be an impostor. Main article: Peddlers Escort Mission
In the anime, Naruto, Hinata, and Chōji Akimichi are sent to the Land of Vegetables to escort some merchants."	Naruto, Konoha, Konoha
A princess, Haruna, is embedded with the merchants, leading to an attack by the Janin. Hinata is tasked with guarding Haruna, and in the course of doing that she fights and defeats Jiga.	other
"Main article: Lady Daimyō Search Mission
In the anime, Naruto, Kiba, and Hinata are sent to the Land of Honey to search for the missing Kayo. When they start to notice something strange about the castle they're search, Hinata uses her Byakugan to discover that the castle is alive."	Naruto, Byakugan, Arc
"Main article: Sunagakure Support Mission
In the anime, Hinata and the Konoha 11 are sent to help the Three Sand Siblings defeat the Four Celestial Symbols Men. Shikamaru Nara, their team leader, assigns Neji, Hinata, and Shino to clear out the areas."	Konoha, Sunagakure, Konoha
After they get back to Konoha - in a scene that happens at the end of the Sasuke Recovery Mission in the manga - Hinata serves drinks to Neji and Hiashi while they train together. At Neji's encouragement, Hinata watches Naruto as he departs Konoha for several years of training, vowing to work just as hard as he plans to.	Naruto, Sasuke, Konoha, Konoha
"Main article: In Naruto's Footsteps: The Friends' Paths
In the anime, Konoha and Sunagakure hold a joint Chūnin Exam two years after Naruto's departure, which Team 8 once again enters. During the first exam, Hinata, Kiba, and Shino are seated in different rooms and are tasked with getting a combined score of exactly 100 points on their written test despite their separation."	Naruto, Konoha, Sunagakure, Konoha
[45] Neji comes up with the idea for teams to communicate which questions to answer by producing vibrations on the walls. After the initial testing period is over, they are given a bonus question: each team must unanimously select one of their members to disqualify from the rest of the exams.	other
"Team 8 selects nobody, which is the correct answer and which qualifies them for the next phase. [46]
 Team 8 awaiting to begin the second stage of the Chūnin Exams."	other
Those who pass the first test must reach the Demon Desert within three days in order to participate in the second exam. Ultimately, Team 8 were among the first 30 teams to make it.	other
The following night, as all the genin were ready to eat dinner, everyone grew nervous about the overly-sweaty Burami ruining the food, which caused the genin to quickly try to stop him, resulting in Neji using the Eight Trigrams Palms Revolving Heaven and accidentally destroying the food. As tension grew between everyone over the recent event, an all-out brawl began.	other
Eventually everyone lost their desire to fight when Fū arrived with her optimistic ways. The following day, as the second exam began Team 8 were given the same objective as they had in the exam several years ago: obtain a scroll from another team.	other
"[47]
 Hinata faces off against Kazami. Following a simple plan by Kiba, Team 8 began talking loudly for all to hear, waiting for another team with a Heaven scroll to come after them."	other
Ultimately, they encounter Team Kazami, with Hinata facing off against Kazami. Deciding to make the first move Hinata begins attacking Kazami.	other
Realising Hinata's goal was to attack his Chakra Pathway System Kazami creates various sharp air currents which she counters  using the Protecting Eight Trigrams Sixty-Four Palms. During the ensuing fight the other team is able to steal their scroll.	Chakra
Despite Team Kazami's attempts to prevent Team 8 from pursuing them, Shino is able to track them using his kikaichū. [48] During their search, Team 8 is ambushed by Team Kazami, though they are able to escape thanks to Shino's insect clone.	Arc
They regroup and then reengage battle against Team Kazami, with Kiba ultimately defeating them. With their own scroll back and with Team Kazami's scroll now in their possession, Team 8 heads to the centre of the desert to turn in the scrolls.	other
"[49]
 Team 8 eventually gets lost in a sandstorm along the way. [50] They are rescued by one of the exam's proctors, who brings them to where all of the other examinees are being assembled."	other
They are informed that the Chūnin Exams have been cancelled; reports on the participants' performances will be sent back to their villages, leaving their promotion up to their superiors. When they get back to Konoha, the Fifth Hokage promotes Hinata, Kiba, and Shino to chūnin.	Konoha, Kage, Konoha
"[51]
 Main article: Tenchi Bridge Reconnaissance Mission
Two-and-a-half years after Naruto left Konoha to train, Hinata heads to a meeting with Kiba and Shino. As she approaches them, she sees them talking to Naruto."	Naruto, Konoha, Tenchi, Konoha
She screams in surprise and hides behind a fence while she tries to build up the courage to greet him. Having heard her scream, Naruto investigates the source and, finding Hinata, says hello to her, inadvertently making her collapse from shock.	Naruto
"Naruto invites Team 8 to help him on a mission to find Sasuke, but they can't since they've already got another assignment. Main article: Akatsuki Suppression Mission
In the anime, Hinata attends Asuma Sarutobi's funeral."	Naruto, Sasuke, Akatsuki
"Main article: Three-Tails' Appearance
 Hinata fights Guren. In the anime, Kakashi Hatake recruits Team 8's members to help him investigate one of Orochimaru's recently-discovered bases."	Three-tail
During their investigation, they are attacked by some of Orochimaru's subordinates, Team Guren. When Kiba struggles against Nurari, Hinata switches with him, using her Byakugan to navigate through the smoke Nurari employs.	Byakugan
The team's leader, Guren, soon traps Team 8 in her Jade Crystal Labyrinth Technique. Although the labyrinth's reflective surface makes it difficult for her to focus with her Byakugan, Hinata is able to locate Guren and defeat one of her Jade Crystal Clones, but is then encased in a crystal prison, where she remains until found by Team 7.	Byakugan
When they come across the Three-Tails, Hinata is assigned to a team tasked with sealing it. They are interrupted by Team Guren before they can complete the Four-Corner Sealing Barrier, prompting Konoha to recall them and send Anbu to seal the Three-Tails in their place.	Konoha, Three-tail, Konoha
"Main article: Itachi Pursuit Mission
 The Eight Man Squad formed to pursue Itachi and Sasuke. Teams 7 and 8 are combined into an Eight Man Squad with the mission of locating Sasuke or Itachi Uchiha."	Sasuke, Itachi
When they split up to search, Naruto, because he's a target of Akatsuki, is given a protective escort in the form of Hinata, Yamato, and Bull. Their group is soon confronted by Kabuto Yakushi, who offers them intel on Akatsuki and its members.	Naruto, Akatsuki, Arc
Noticing something strange about Kabuto, Hinata examines him with her Byakugan and discovers that a third of his body has been taken over by Orochimaru's remains. Kabuto escapes and they later regroup with the rest of the team.	Byakugan
"Kiba is able to find Sasuke's trail, which they begin following. Main article: Fated Battle Between Brothers
As they near Sasuke's location, they are intercepted by Tobi of Akatsuki."	Sasuke, Akatsuki
They make repeated attempts to kill or capture him, but every attack passes through him without sign of damage. Suspecting a genjutsu is being used, Hinata searches the area with her Byakugan to locate a caster, but can find nobody.	Byakugan, Arc
She focuses on Tobi's chakra signature to try and understand how his ability works, but is mystified when it simply vanishes. Tobi leaves them when he receives news that Itachi has died while fighting Sasuke.	Chakra, Sasuke, Itachi
"Hinata uses her Byakugan to locate where their fight took place and they rush to reach Sasuke before Tobi does, but they are too late and cannot rediscover his trail. Main article: Six-Tails Unleashed
In the anime, Katsuyu meets them as they return to Konoha to give them a new mission: helping the Tsuchigumo clan protect its forbidden technique."	Byakugan, Sasuke, Konoha, Six-tail, Konoha
"Kakashi sends the rest of Team 7 to complete the mission while he returns to the village with Team 8. Main article: Pain's Assault
 Hinata protects Naruto."	Naruto
When Pain's Assault on Konoha begins, Hinata joins her teammates in defending the village. Pain later destroys the village, but Hinata is saved from harm by Katsuyu.	Konoha, Konoha
Hinata's bodyguard, Kō Hyūga, is not as fortunate, but he refuses Hinata's attempts to find him medical attention. Hinata watches as Naruto fights Pain alone, initially obeying Katsuyu's and Kō's instructions not to interfere.	Naruto
After Naruto is captured by Pain's Deva Path, however, Hinata does not hesitate to come to his defence, forcing the Deva Path away from him. Naruto pleads for her to run away, telling her that she can't defeat Pain.	Naruto
Despite knowing this already, she tells Naruto that she will fight Pain because, after years of watching him and improving herself by following his example, Hinata loves Naruto and will do what she can to protect him. Hinata starts attacking the Deva Path with her Gentle Step Twin Lion Fists.	Naruto
In the anime, she succeeds in removing some of the black receivers that restrains Naruto and even hitting the Deva Path, but the outcome remains the same: the Deva Path quickly defeats her with Shinra Tensei. The Deva Path then stabs her with another black receiver, leading Naruto to believe Hinata has been killed and thus causing him to enter a version 2 form.	Naruto
Hinata, however, is still alive, and when Team Guy finds her, Neji gets her immediate medical attention. Sakura Haruno heals Hinata's injuries, allowing her to tearfully join in the village's celebration when Naruto returns after defeating Pain.	Naruto, Sakura
"Main article: Five Kage Summit
 The Konoha shinobi discussing Sasuke. News reaches Konoha of Sasuke's recent activity with Akatsuki, specifically his attack against Kumogakure-ninja."	Sasuke, Konoha, Akatsuki, Kage, Shinobi, Konoha, Ninja
Hinata and the rest of the Konoha 11 (while Naruto was absent) decide that Sasuke can no longer be allowed to implicate Konoha in his criminal deeds and they resolve to personally kill him. When Naruto returns to Konoha after learning of this and having his own confrontation with Sasuke, he requests that they leave dealing with Sasuke to him.	Naruto, Sasuke, Konoha, Konoha
"Main article: Power
In the anime, Hinata is part of a team of reinforcements sent to Tonika Village to help Team 7 in the fight against Kabuto Yakushi. Hinata attempts to stop the Nine-Tailed Naruto Clone from taking chakra from Naruto, but she fails and is saved by Neji."	Naruto, Chakra
"Main article: Paradise Life on a Boat
 Hinata attends the Hyūga clan meeting to discuss upcoming war. In the anime, Hinata was present at the Hyūga clan meeting convened by her father, Hiashi."	other
After hearing Hiashi declaration that Neji was to lead the clan's forces during the Fourth Shinobi World War, she was quite shocked. After the meeting she overheard Kō contest with her father about his decision, reminding him of how much Hinata had grown and that she was from the main house.	Shinobi
"Hiashi, however, told him that it wasn't because he lacked faith in Hinata but because she still lacked enough self-confidence to lead the shinobi during war. [52]
 Later, Hinata met with Kurenai and was told that several members of the Konoha 11 have encountered Naruto while he traveled to the Land of Lightning."	Naruto, Konoha, Shinobi, Konoha
When Hinata was summoned to a meeting with the Fifth Hokage, she was hopeful that she would also get sent on such a mission. After much searching for where exactly the Hokage was, Hinata was disappointed to learn that the Hokage only wanted to discuss Neji's selection to lead the Hyūga during the approaching Fourth Shinobi World War.	Kage, Shinobi, Arc
She was later invited to Yakiniku Q to have dinner with other girls in her age group. The dinner's conversation turned to Naruto, during which Hinata realised that she doesn't need to go on a mission with Naruto to be able to help him.	Naruto
"Main article: Fourth Shinobi World War: Confrontation
 Hinata and Neji protecting each other. When the Fourth Shinobi World War begins, Hinata is placed alongside Neji in the Second Division."	Shinobi
Their entire division is sent to intercept a large segment of the White Zetsu Army, which Neji and Hinata join forces in attacking after Kitsuchi unearths the Zetsu army. Although the Zetsus suffer heavy casualties, their numbers are too great and the fight becomes one of attrition.	other
After a day of fighting, Neji collapses from exhaustion, at which point Hinata takes responsibility for monitoring the Second Division's perimeter with her Byakugan. Shino encourages her not to over-exert herself, but she assures him that she doesn't mind since she's fighting to keep Naruto safe.	Naruto, Byakugan
In the anime, Hinata, Kiba, and Shino investigate a possible breach of the Allied Shinobi Forces' perimeter. They discover several White Zetsus within Allied territory, and in the fight to destroy them Hinata is knocked unconscious.	Shinobi
One Zetsu impersonates her and successfully pretends to be her for a time using its knowledge of her feelings for Naruto, but Kiba and Shino eventually discover it and, after defeating it, rescue Hinata. [53] On the second day of the war, Hinata helps members of the Second Division escape the area of Neji's fight with the reincarnated Kidōmaru.	Naruto
She later finds Neji unconscious with Kiba and Akamaru. Hinata examines their bodies with her Byakugan and discovers that their chakra flow has completely stopped.	Chakra, Byakugan
She reports this to Inoichi Yamanaka, who is able to use the information to help Naruto save them. Hinata tearfully hugs Neji when he wakes up.	Naruto
"[54]
 Naruto saves Hinata from disguised White Zetsu. With all levels of the Allied Shinobi Forces infiltrated by disguised White Zetsus, Hinata and the others are placed on high alert due to periodic surprise attacks by what they thought were their allies."	Naruto, Shinobi
